lon,lat,PINN_log_dep,PINN_Diffusivity
-167.89915966386553,-86.94915254237289,-4.266915,0.0019373335
-164.87394957983193,-86.94915254237289,-4.261849,0.0019277077
-161.84873949579833,-86.94915254237289,-4.253212,0.0019331343
-158.8235294117647,-86.94915254237289,-4.2542143,0.0019225583
-155.7983193277311,-86.94915254237289,-4.2593737,0.0019125111
-152.7731092436975,-86.94915254237289,-4.2342954,0.0019266575
-149.74789915966386,-86.94915254237289,-4.2018228,0.0019583092
-146.72268907563026,-86.94915254237289,-4.1836867,0.001973313
-143.69747899159665,-86.94915254237289,-4.1536584,0.0020156025
-140.67226890756302,-86.94915254237289,-4.1417985,0.0020278855
-137.64705882352942,-86.94915254237289,-4.121071,0.0020608522
-134.62184873949582,-86.94915254237289,-4.087706,0.002097244
-131.5966386554622,-86.94915254237289,-4.058902,0.0021261037
-128.57142857142856,-86.94915254237289,-4.0405025,0.002147807
-125.54621848739497,-86.94915254237289,-4.0463467,0.0021391734
-122.52100840336136,-86.94915254237289,-4.0976114,0.0020689648
-119.49579831932772,-86.94915254237289,-4.1325927,0.0020312497
-116.47058823529412,-86.94915254237289,-4.1632924,0.0019946368
-113.44537815126051,-86.94915254237289,-4.1846566,0.0019711184
-110.4201680672269,-86.94915254237289,-4.2103133,0.0019471438
-107.39495798319328,-86.94915254237289,-4.244754,0.001909484
-104.36974789915966,-86.94915254237289,-4.283032,0.0018703918
-101.34453781512605,-86.94915254237289,-4.2997346,0.0018516865
-98.31932773109244,-86.94915254237289,-4.3401666,0.0018114605
-95.29411764705884,-86.94915254237289,-4.3737817,0.0017739142
-92.2689075630252,-86.94915254237289,-4.398558,0.0017467798
-89.2436974789916,-86.94915254237289,-4.4350033,0.0017043776
-86.21848739495799,-86.94915254237289,-4.4795265,0.0016556988
-83.19327731092437,-86.94915254237289,-4.4828444,0.0016172129
-80.16806722689076,-86.94915254237289,-4.4648366,0.0015906014
-77.14285714285714,-86.94915254237289,-4.45803,0.0015518452
-74.11764705882354,-86.94915254237289,-4.4384913,0.0015200634
-71.09243697478992,-86.94915254237289,-4.438083,0.001478786
-68.0672268907563,-86.94915254237289,-4.4338083,0.0014328281
-65.0420168067227,-86.94915254237289,-4.4309406,0.0013912207
-62.01680672268908,-86.94915254237289,-4.4069233,0.0013624905
-58.991596638655466,-86.94915254237289,-4.3981957,0.0013413071
-55.96638655462185,-86.94915254237289,-4.4010262,0.0013218679
-52.94117647058823,-86.94915254237289,-4.4179006,0.0012926365
-49.91596638655463,-86.94915254237289,-4.432379,0.001270436
-46.89075630252103,-86.94915254237289,-4.4420695,0.0012589293
-43.8655462184874,-86.94915254237289,-4.41877,0.0012786431
-40.84033613445379,-86.94915254237289,-4.4042506,0.0012953996
-37.81512605042016,-86.94915254237289,-4.415207,0.0012962777
-34.78991596638656,-86.94915254237289,-4.4378686,0.0012931244
-31.76470588235296,-86.94915254237289,-4.449658,0.0012920564
-28.739495798319325,-86.94915254237289,-4.463619,0.0012934677
-25.71428571428572,-86.94915254237289,-4.485188,0.0012883085
-22.68907563025209,-86.94915254237289,-4.4994054,0.0012829449
-19.66386554621849,-86.94915254237289,-4.4774384,0.0012927117
-16.638655462184886,-86.94915254237289,-4.457894,0.0012894208
-13.613445378151257,-86.94915254237289,-4.480996,0.0012563863
-10.588235294117652,-86.94915254237289,-4.507956,0.0012176766
-7.563025210084049,-86.94915254237289,-4.527152,0.0011958722
-4.537815126050418,-86.94915254237289,-4.5599127,0.0011658496
-1.5126050420168156,-86.94915254237289,-4.573942,0.0011357205
1.5126050420167871,-86.94915254237289,-4.549074,0.0011229897
4.537815126050418,-86.94915254237289,-4.556296,0.0011111342
7.563025210084021,-86.94915254237289,-4.57359,0.0010981418
10.588235294117652,-86.94915254237289,-4.5774684,0.0010894276
13.613445378151257,-86.94915254237289,-4.569629,0.0010832357
16.638655462184857,-86.94915254237289,-4.5815716,0.001076942
19.66386554621849,-86.94915254237289,-4.585952,0.001074306
22.68907563025209,-86.94915254237289,-4.5652647,0.0010782336
25.71428571428572,-86.94915254237289,-4.559336,0.001075079
28.739495798319325,-86.94915254237289,-4.545121,0.0010771997
31.764705882352928,-86.94915254237289,-4.5328617,0.0010819572
34.78991596638656,-86.94915254237289,-4.507433,0.0010933704
37.81512605042016,-86.94915254237289,-4.516814,0.0010897575
40.84033613445376,-86.94915254237289,-4.482956,0.0011031184
43.8655462184874,-86.94915254237289,-4.470929,0.001102872
46.890756302521,-86.94915254237289,-4.4319773,0.0011140202
49.9159663865546,-86.94915254237289,-4.4151974,0.001115547
52.94117647058823,-86.94915254237289,-4.377868,0.0011287372
55.96638655462184,-86.94915254237289,-4.3634806,0.0011331168
58.991596638655466,-86.94915254237289,-4.3285885,0.0011472919
62.01680672268907,-86.94915254237289,-4.330316,0.0011430291
65.04201680672267,-86.94915254237289,-4.311655,0.0011526241
68.0672268907563,-86.94915254237289,-4.303095,0.0011567414
71.0924369747899,-86.94915254237289,-4.2946987,0.0011620035
74.11764705882354,-86.94915254237289,-4.2838845,0.0011698568
77.14285714285711,-86.94915254237289,-4.285031,0.0011769468
80.16806722689074,-86.94915254237289,-4.25757,0.0012050954
83.19327731092437,-86.94915254237289,-4.229495,0.0012355621
86.21848739495795,-86.94915254237289,-4.189182,0.001278871
89.24369747899158,-86.94915254237289,-4.1722674,0.0013075595
92.2689075630252,-86.94915254237289,-4.140097,0.0013480496
95.29411764705884,-86.94915254237289,-4.1272025,0.0013808535
98.3193277310924,-86.94915254237289,-4.0995307,0.0014218565
101.34453781512605,-86.94915254237289,-4.0856323,0.0014539338
104.36974789915968,-86.94915254237289,-4.069884,0.0014877795
107.39495798319324,-86.94915254237289,-4.062904,0.0015184542
110.42016806722688,-86.94915254237289,-4.038088,0.0015576166
113.44537815126051,-86.94915254237289,-4.025208,0.0015898028
116.47058823529407,-86.94915254237289,-4.0203547,0.0016248582
119.49579831932772,-86.94915254237289,-4.0184293,0.001651867
122.52100840336136,-86.94915254237289,-4.002392,0.0016902625
125.54621848739492,-86.94915254237289,-4.003999,0.0017116214
128.57142857142856,-86.94915254237289,-4.0360875,0.001712318
131.5966386554622,-86.94915254237289,-4.061637,0.0017175069
134.62184873949582,-86.94915254237289,-4.082745,0.0017228668
137.6470588235294,-86.94915254237289,-4.1229753,0.001722729
140.67226890756302,-86.94915254237289,-4.128417,0.0017452525
143.69747899159665,-86.94915254237289,-4.1378403,0.0017645219
146.72268907563023,-86.94915254237289,-4.1467123,0.0017860901
149.74789915966386,-86.94915254237289,-4.1437078,0.0018202149
152.7731092436975,-86.94915254237289,-4.130006,0.001864211
